Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
AAPL,Apple Inc.,147.81,-0.33713168,-0.5,Neutral,65446167,9673597944.27,2351378906992,24.30474755,6.1445,164000,Electronic Technology
MSFT,Microsoft Corporation,255.02,0.12956928,0.33,Buy,21528403,5490173333.06,1901039773167,27.4456346,9.3269,221000,Technology Services
GOOG,Alphabet Inc.,100.83,-0.4443128,-0.45,Buy,18821492,1897771038.36,1302368487885,20.38073007,5.0893,156500,Technology Services
AMZN,"Amazon.com, Inc.",94.13,-1.43455497,-1.37,Sell,72496165,6824064011.45,960281690945,87.69513315,1.1147,1608000,Retail Trade
TSLA,"Tesla, Inc.",194.86,0.08217771,0.16,Neutral,73644517,14350370582.62,615319642660,60.15757763,3.6018,99290,Consumer Durables
UNH,UnitedHealth Group Incorporated,536.16,-0.13968822,-0.75,Buy,2346028,1257846372.48,500960566949,26.29372616,20.7071,350000,Health Services
JNJ,Johnson & Johnson,178.88,0.07832606,0.14,Buy,5824048,1041805706.24,467678803079,24.87959689,7.287,141700,Health Technology
XOM,Exxon Mobil Corporation,109.86,-0.84837545,-0.94,Neutral,15248385,1675187576.1,452435721703.0001,9.02721199,12.274,63000,Energy Minerals
V,Visa Inc.,217.66,0.30414747,0.66,Buy,5132837,1117213301.42,448746894076,31.69039796,7.0454,26500,Commercial Services
NVDA,NVIDIA Corporation,168.76,-1.51152612,-2.59,Buy,37138739,6267533593.639999,415149586487,72.8962818,2.3817,22473,Electronic Technology
WMT,Walmart Inc.,153.22,-0.0978027,-0.15,Buy,6911044,1058910161.68,413203706773.0001,47.39786143,3.2509,2300000,Retail Trade
JPM,JP Morgan Chase & Co.,135.16,-0.79271873,-1.08,Buy,8932057,1207256824.12,396452009101,11.50228796,11.8614,271025,Finance
PG,Procter & Gamble Company (The),150.61,0.91122278,1.36,Strong Buy,4938278,743754049.58,356900033082,25.87238026,5.956,106000,Consumer Non-Durables
LLY,Eli Lilly and Company,374.76,1.19623039,4.43,Buy,1925568,721625863.68,356088662761,55.61930222,6.6754,35000,Health Technology
CVX,Chevron Corporation,181.03,-0.80004384,-1.46,Neutral,6852304,1240472593.1200001,350046584311,10.38279036,17.652,42595,Energy Minerals
MA,Mastercard Incorporated,360.06,-0.20509978,-0.74,Strong Buy,2015586,725731895.16,346183203717,36.0212853,10.0481,24000,Commercial Services
HD,"Home Depot, Inc. (The)",327.99,0.28128535,0.92,Strong Buy,3644116,1195233606.84,334282797699,19.71013619,16.6477,490600,Retail Trade
META,"Meta Platforms, Inc.",123.49,2.53238127,3.05,Buy,39950464,4933482799.36,327455014477,11.4733172,10.5709,71970,Technology Services
BAC,Bank of America Corporation,36.08,-1.28590971,-0.47,Sell,42295225,1526011718,289449365900,11.59176683,3.1763,208000,Finance
ABBV,AbbVie Inc.,163.66,1.25595496,2.03,Strong Buy,4305089,704570865.74,289429519992,21.54176274,7.5334,50000,Health Technology
PFE,"Pfizer, Inc.",50.91,-0.33281128,-0.17,Buy,16881642,859444394.2199999,285773837952,9.83631812,5.3098,79000,Health Technology
MRK,"Merck & Company, Inc.",110.04,0.21857923,0.24,Buy,6943575,764070993,278994977731,18.26772702,6.0326,68000,Health Technology
KO,Coca-Cola Company (The),64.35,0.87788055,0.56,Strong Buy,13642949,877923768.15,278282448186,27.96212686,2.2937,79000,Consumer Non-Durables
PEP,"PepsiCo, Inc.",185.69,-0.11296396,-0.21,Buy,3547756,658782811.64,255826830007.00003,26.590571,7.0288,309000,Consumer Non-Durables
BABA,Alibaba Group Holding Limited,90.06,4.79404236,4.12,Buy,35042228,3155903053.6800003,230779378714.02063,231.20796341,0.3893,254941,Retail Trade
AVGO,Broadcom Inc.,540.8,-1.80662733,-9.95,Buy,1931953,1044800182.3999999,225320928312,24.00106332,24.0352,20000,Electronic Technology
ORCL,Oracle Corporation,83.35,-0.90357865,-0.76,Buy,4798927,399990565.45,224725453637,39.94396163,2.1779,143000,Technology Services
TMO,Thermo Fisher Scientific Inc,563,-0.27632138,-1.56,Buy,1014453,571137039,220806098389,31.74967382,17.9173,130000,Health Technology
COST,Costco Wholesale Corporation,494.53,-1.85170484,-9.33,Sell,3632090,1796177467.6999998,218881032971,38.34609355,13.1724,304000,Retail Trade
CSCO,"Cisco Systems, Inc.",49.7,-0.54032419,-0.27,Buy,12325139,612559408.3000001,204172723593.00003,18.06514587,2.7758,83300,Electronic Technology
MCD,McDonald's Corporation,273.4,0,0,Buy,2807524,767577061.5999999,200244686825.99997,34.44018946,7.993,200000,Consumer Services
DHR,Danaher Corporation,274.23,-0.11291615,-0.31,Buy,1810596,496519741.0800001,199629221281.00003,30.31045752,9.2029,80000,Health Technology
ACN,Accenture plc,300.13,-0.89158934,-2.7,Buy,1744558,523594192.54,199521386000,28.27227575,10.8686,721000,Technology Services
TMUS,"T-Mobile US, Inc.",152.41,0.39523088,0.6,Buy,3046578,464328952.98,189621542338,124.26127527,1.227,75000,Communications
